customer_id,stock_code,score,rank
12346.0,15056N,0.7161625,1
12346.0,48194,0.60181683,2
12346.0,20685,0.5277182,3
12346.0,48189,0.5172446,4
12346.0,21523,0.5084169,5
12347.0,23084,0.005909124,1
12347.0,22725,-0.058577925,2
12347.0,22727,-0.06860448,3
12347.0,22721,-0.08270126,4
12347.0,22423,-0.08433665,5
12348.0,84993A,0.8339058,1
12348.0,84992,0.8339058,2
12348.0,21976,0.7618056,3
12348.0,21982,0.7204247,4
12348.0,21977,0.7156828,5
12349.0,20685,0.20364635,1
12349.0,48194,0.13074985,2
12349.0,22624,0.09644919,3
12349.0,21527,0.08660681,4
12349.0,21523,0.07289433,5
12350.0,22551,0.623971,1
12350.0,22553,0.623971,2
12350.0,22137,0.54684216,3
12350.0,22138,0.54684216,4
12350.0,22139,0.54684216,5
12351.0,22624,0.47247088,1
12351.0,84077,0.4379252,2
12351.0,22030,0.43701914,3
12351.0,22139,0.43487167,4
12351.0,22138,0.43487167,5
12352.0,22624,0.5298522,1
12352.0,22627,0.38393423,2
12352.0,22625,0.38060546,3
12352.0,22721,0.311849,4
12352.0,22727,0.30431637,5
12353.0,21232,0.8708125,1
12353.0,22064,0.6912229,2
12353.0,21231,0.6359794,3
12353.0,37449,0.6304777,4
12353.0,37448,0.62607557,5
12354.0,21238,0.60785294,1
12354.0,21242,0.5329096,2
12354.0,21244,0.3894579,3
12354.0,21243,0.3894579,4
12354.0,21240,0.3849222,5
12355.0,21232,0.5099441,1
12355.0,22423,0.43406555,2
12355.0,22424,0.41430536,3
12355.0,21231,0.40849265,4
12355.0,85123A,0.4041235,5
12356.0,21232,0.4518234,1
12356.0,84992,0.3410102,2
12356.0,84993A,0.3410102,3
12356.0,21212,0.3381497,4
12356.0,22137,0.33750266,5
12357.0,22030,-0.041531965,1
12357.0,22725,-0.0484019,2
12357.0,22727,-0.05621969,3
12357.0,22865,-0.0595516,4
12357.0,22721,-0.08760885,5
12358.0,15056N,0.66434705,1
12358.0,21232,0.5982095,2
12358.0,48185,0.5124474,3
12358.0,85014A,0.4934645,4
12358.0,85014B,0.4934645,5
12359.0,22624,0.19132404,1
12359.0,22625,0.040558647,2
12359.0,22627,-0.009063381,3
12359.0,22725,-0.04556687,4
12359.0,22727,-0.047210854,5
12360.0,22551,0.24637192,1
12360.0,22553,0.24637192,2
12360.0,21238,0.19707349,3
12360.0,22029,0.16307174,4
12360.0,22327,0.15688463,5
12361.0,20727,1.0184116,1
12361.0,20728,1.0073843,2
