user_id,country,rec_item_1,rec_item_2,rec_item_3,rec_item_4,rec_item_5
12346.0,United Kingdom,85038,22328,84946,21915,21755
12347.0,Iceland,22548,22549,22328,21915,21902
12348.0,Finland,22328,22549,22548,21915,20713
12349.0,Italy,22328,21915,22548,20713,21902
12350.0,Norway,22244,22730,47591C,21035,22077
12351.0,Unspecified,22549,22548,22328,21915,22244
12352.0,Norway,22244,22730,47591C,21035,22077
12353.0,Bahrain,22549,22328,22548,21915,21902
12354.0,Spain,22328,22548,21915,85038,21955
12355.0,Bahrain,22549,22328,22548,21915,21902
12356.0,Portugal,22328,22548,85038,21915,21955
12357.0,Switzerland,85038,22328,21915,22548,21955
12358.0,Austria,22328,21915,22548,21955,85038
12359.0,Cyprus,22549,22548,22328,22244,21915
12360.0,Austria,22328,21915,22548,21955,85038
12361.0,Belgium,22328,85038,21915,22548,21955
12362.0,Belgium,22328,85038,21915,22548,21955
12363.0,Unspecified,22549,22548,22328,21915,22244
12364.0,Belgium,22328,85038,21915,22548,21955
12365.0,Cyprus,22549,22548,22328,22244,21915
12366.0,Cyprus,22549,22548,22328,22244,21915
12367.0,Denmark,22549,22548,22328,22244,21915
12368.0,Cyprus,22549,22548,22328,22244,21915
12369.0,Austria,22328,21915,22548,21955,85038
12370.0,Cyprus,22549,22548,22328,22244,21915
12371.0,Switzerland,22328,21915,22548,21955,85038
12372.0,Denmark,85038,22328,21915,22548,21955
12373.0,Austria,22549,22548,22328,22244,21915
12374.0,Austria,22328,21915,22548,21955,85038
12375.0,Finland,22328,21915,22548,21955,85038
12376.0,Switzerland,22328,22549,22548,21915,20713
12377.0,Switzerland,85038,22328,21915,22548,21955
12378.0,Switzerland,85038,22328,21915,22548,21955
12379.0,Belgium,85038,22328,21915,22548,21955
12380.0,Belgium,22328,85038,21915,22548,21955
12381.0,Norway,22328,85038,21915,22548,21955
12383.0,Belgium,22244,22730,47591C,21035,22077
12384.0,Switzerland,22328,85038,21915,22548,21955
12385.0,Belgium,85038,22328,21915,22548,21955
12386.0,Australia,22328,85038,21915,22548,21955
